FRONTSIDE_360	0 0 0	-2 6 8	-4 13 7	-4 8 5	354 8 5	353 9 5	353 10 7	351 11 4	350 13 5	349 14 6	348 12 6	348 10 5	349 6 9	350 6 10	350 4 8	352 1 10	353 0 12	352 0 14	349 5 15	345 8 19	340 6 20	339 7 18	339 6 25	324 8 17	325 11 20	323 10 26	317 13 32	315 18 38	314 24 44	312 36 48	314 42 54	309 45 53	315 48 63	314 51 76	311 56 76	310 60 77	311 63 81	318 66 90	325 66 101	332 66 111	339 64 119	350 62 130	2 56 137	13 49 139	23 40 138	32 33 136	38 31 126	40 27 113	41 28 96	37 28 77
BACKROLL	0 0 0	0 1 4	-1 5 3	-2 5 2	-3 4 1	-10 8 1	339 14 -6	341 14 -1	342 14 -2	343 11 -2	336 11 0	331 24 10	318 34 17	309 46 28	296 53 30	283 58 28	258 63 13	245 76 5	218 80 -16	191 84 -39	159 81 -72	119 75 -113	103 70 -129	95 56 -139	97 43 -136	100 30 -132	101 24 -124	100 16 -106	97 12 -85	93 2 -66	89 -10 -59	85 -17 -53	82 -21 -43	83 -21 -45	85 -18 -46	83 -16 -49	80 -16 -48	75 -19 -38	70 -23 -31	69 -27 -31	74 -24 -37	75 -37 -43	76 -44 -39	83 -56 -37	98 -64 -49	131 -66 -80	155 -55 -98	165 -44 -103	173 -37 -110	177 -32 -102
FRONTROLL	0 0 0	0 4 8	0 1 4	0 1 -4	-2 1 1	-5 1 5	-12 6 4	-16 7 11	-20 9 16	-23 11 17	-22 8 21	-24 8 18	-27 4 18	-32 0 19	-42 0 24	-52 0 25	-58 0 26	-62 3 27	-66 7 31	-67 9 31	-70 8 31	-75 8 32	-80 9 32	-85 13 36	-88 15 37	-91 14 38	-93 15 38	-96 16 39	-98 18 38	-101 18 39	-102 18 39	-105 18 35	-108 18 33	-109 18 35	-109 20 35	-118 21 30	-126 20 23	-130 19 20	-134 16 14	-129 18 0	-127 21 -7	-123 18 -9	-127 17 -9	-132 20 -2	-140 20 1	-150 20 5	-154 17 2	-160 14 -2	-159 14 -3	-160 16 -11
TANTRUM	0 0 0	-1 4 3	1 3 -3	2 2 -5	1 0 -7	-1 0 -6	-4 -1 -7	349 -6 -3	344 -3 4	330 5 15	317 9 17	310 15 16	298 23 16	285 24 13	273 23 6	260 24 0	254 20 0	242 20 -8	228 25 -13	215 32 -11	203 35 -12	198 33 -10	192 41 -14	194 51 -19	192 65 -30	196 74 -28	227 76 -7	220 89 0	111 91 -98	99 79 -112	92 65 -121	89 56 -127	88 46 -128	88 34 -127	86 25 -133	86 13 -139	86 4 -140	87 -16 -138	82 -18 -133	69 -26 -119	57 -38 -105	41 -37 -84	31 -35 -67	31 -30 -60	32 -23 -53	28 -19 -46	31 -16 -37	35 -10 -24	34 -3 -16	35 0 -12
MOBE	0 0 0	-2 5 5	-1 5 -4	0 0 -9	0 -3 -11	-4 -4 -14	-10 -2 -12	336 1 -10	317 12 -5	299 20 -10	257 29 -26	278 24 -18	243 35 -30	235 50 -24	203 50 -26	179 76 -33	136 67 -63	119 55 -105	113 58 -92	108 38 -84	108 22 -77	114 6 -69	119 4 -64	115 0 -70	122 0 -75	133 6 -70	138 5 -54	158 19 -36	185 30 -48	218 32 -46	243 19 -48	255 -1 -35	265 -17 -18	282 -29 -11	307 -30 -19	292 -41 -23	291 -4 18	274 -12 31	284 10 47	296 20 68	307 26 96	315 36 117	324 51 135	-9 58 151	15 56 165	40 38 174	62 28 171	64 24 168	67 12 168	72 17 171
